catalog_row_id,entity_type,catalog_line_number,business_cluster,search_term
machinery:1,machinery,1,Machinery,Stability Chamber
machinery:2,machinery,2,Machinery,Extraction System
machinery:3,machinery,3,Machinery,21 CFR Part 11 System
machinery:4,machinery,4,Machinery,2D Code Verification Cartoner
machinery:5,machinery,5,Machinery,2D Matrix Printer
machinery:6,machinery,6,Machinery,3-Side Seal Sachet Machine
machinery:7,machinery,7,Machinery,3D Vibrating Screen
machinery:8,machinery,8,Machinery,4-Side Seal Sachet Machine
machinery:9,machinery,9,Machinery,AAS
machinery:10,machinery,10,Machinery,AGV
machinery:11,machinery,11,Machinery,Vision Inspection
machinery:12,machinery,12,Machinery,API Blending Vessel
machinery:13,machinery,13,Machinery,API Feeder
machinery:14,machinery,14,Machinery,API Lyophilizer
machinery:15,machinery,15,Machinery,API Sieve
machinery:16,machinery,16,Machinery,API Size Reduction Mill
machinery:17,machinery,17,Machinery,ASRS
machinery:18,machinery,18,Machinery,ASTM Dissolution System
machinery:19,machinery,19,Machinery,Conveyor
machinery:20,machinery,20,Machinery,Coater
machinery:21,machinery,21,Machinery,ATR-FTIR
machinery:22,machinery,22,Machinery,Abrasion Tester
machinery:23,machinery,23,Machinery,Accela-Cota Style Coater
machinery:24,machinery,24,Machinery,Accelerated Aging Chamber
machinery:25,machinery,25,Machinery,Accelerated Solvent Extractor
machinery:26,machinery,26,Machinery,Accumulation Conveyor
machinery:27,machinery,27,Machinery,Acid Recovery CIP
machinery:28,machinery,28,Machinery,Acoustic Cavitation System
machinery:29,machinery,29,Machinery,Active Air Sampler
machinery:30,machinery,30,Machinery,Active RABS
machinery:31,machinery,31,Machinery,Adaptogen Processing Line
machinery:32,machinery,32,Machinery,Adhesion Tester
machinery:33,machinery,33,Machinery,Adjustable Case Sealer
machinery:34,machinery,34,Machinery,Adjustable Width Conveyor
machinery:35,machinery,35,Machinery,Adsorption Dryer
machinery:36,machinery,36,Machinery,Adsorption Wheel Dryer
machinery:37,machinery,37,Machinery,Affinity Chromatography System
machinery:38,machinery,38,Machinery,Agar Manufacturing Line
machinery:39,machinery,39,Machinery,Agglomerate Breaker Mill
machinery:40,machinery,40,Machinery,Agglomeration Dryer
machinery:41,machinery,41,Machinery,Aggregation Cartoner
machinery:42,machinery,42,Machinery,Aggregation Machine
machinery:43,machinery,43,Machinery,Aggregation System
machinery:44,machinery,44,Machinery,Agitated Nutsche Filter Dryer
machinery:45,machinery,45,Machinery,Agitated Paddle Dryer
machinery:46,machinery,46,Machinery,Agitated Thin-Film Dryer
machinery:47,machinery,47,Machinery,Agitated Thin-Film Evaporator
machinery:48,machinery,48,Machinery,Agitator Tank
machinery:49,machinery,49,Machinery,Air Classifier
machinery:50,machinery,50,Machinery,Air Classifier Mill
machinery:51,machinery,51,Machinery,Air Classifying Mill
machinery:52,machinery,52,Machinery,Air Dryer System
machinery:53,machinery,53,Machinery,Air Handling Unit
