catalog_row_id,entity_type,catalog_line_number,business_cluster,search_term
packaging:1,packaging,1,Packaging,PET Bottle
packaging:2,packaging,2,Packaging,ABL Tube
packaging:3,packaging,3,Packaging,Accessibility Packaging
packaging:4,packaging,4,Packaging,Aclar Blister Pack
packaging:5,packaging,5,Packaging,Child-Resistant Blister Pack
packaging:6,packaging,6,Packaging,Cold-Form Blister Pack
packaging:7,packaging,7,Packaging,Strip Pack
packaging:8,packaging,8,Packaging,Unit-Dose Blister Pack
packaging:9,packaging,9,Packaging,Aclar/Alu Blister Pack
packaging:10,packaging,10,Packaging,Activated Carbon Packet
packaging:11,packaging,11,Packaging,Alu-Alu Blister Pack
packaging:12,packaging,12,Packaging,Alu-Alu Foil
packaging:13,packaging,13,Packaging,Aluminum Can
packaging:14,packaging,14,Packaging,Aluminum Foil Blister Pack
packaging:15,packaging,15,Packaging,Aluminum Foil Laminate Sachet
packaging:16,packaging,16,Packaging,Dissolvable Sachet
packaging:17,packaging,17,Packaging,Dual-Chamber Sachet
packaging:18,packaging,18,Packaging,Dual-Compartment Sachet
packaging:19,packaging,19,Packaging,Aluminum Foil Laminate Stick Pack
packaging:20,packaging,20,Packaging,Slim Stick Pack
packaging:21,packaging,21,Packaging,Unit-Dose Sachet
packaging:22,packaging,22,Packaging,Aluminum Foil Lid Seal
packaging:23,packaging,23,Packaging,Aluminum Tube
packaging:24,packaging,24,Packaging,Amber Glass Bottle
packaging:25,packaging,25,Packaging,Amber Glass Container
packaging:26,packaging,26,Packaging,Amber Glass Tube
packaging:27,packaging,27,Packaging,Amber Glass Sports Nutrition Container
packaging:28,packaging,28,Packaging,Amber Glass Vial
packaging:29,packaging,29,Packaging,Auto-Bottom Carton
packaging:30,packaging,30,Packaging,Folding Carton
packaging:31,packaging,31,Packaging,Lock-Bottom Carton
packaging:32,packaging,32,Packaging,Perforated Carton
packaging:33,packaging,33,Packaging,Reverse Tuck Carton
packaging:34,packaging,34,Packaging,Rigid Box
packaging:35,packaging,35,Packaging,Sleeve Carton
packaging:36,packaging,36,Packaging,Snap-Lock Carton
packaging:37,packaging,37,Packaging,Straight Tuck Carton
packaging:38,packaging,38,Packaging,Anti-Counterfeit Tray
packaging:39,packaging,39,Packaging,Two-Piece Box
packaging:40,packaging,40,Packaging,Window Carton
packaging:41,packaging,41,Packaging,Anti-Slip Pallet Sheet
packaging:42,packaging,42,Packaging,BSE-Free Gelatin Capsule Shell
packaging:43,packaging,43,Packaging,Banded Capsule Shell
packaging:44,packaging,44,Packaging,Clear Capsule Shell
packaging:45,packaging,45,Packaging,Colored Capsule Shell
packaging:46,packaging,46,Packaging,Delayed-Release Capsule Shell
packaging:47,packaging,47,Packaging,Enteric-Coated Capsule Shell
packaging:48,packaging,48,Packaging,Fish Gelatin Capsule Shell
packaging:49,packaging,49,Packaging,HPMC Capsule Shell
packaging:50,packaging,50,Packaging,Halal Capsule Shell
packaging:51,packaging,51,Packaging,Hard Gelatin Capsule Shell
packaging:52,packaging,52,Packaging,Kosher Capsule Shell
packaging:53,packaging,53,Packaging,Liquid-Fill Capsule Shell
packaging:54,packaging,54,Packaging,Modified-Release Capsule Shell
packaging:55,packaging,55,Packaging,Opaque Capsule Shell
packaging:56,packaging,56,Packaging,Printed Capsule Shell
packaging:57,packaging,57,Packaging,Pullulan Capsule Shell
packaging:58,packaging,58,Packaging,Softgel Shell
packaging:59,packaging,59,Packaging,Starch Capsule Shell
packaging:60,packaging,60,Packaging,Transparent Capsule Shell
packaging:61,packaging,61,Packaging,Two-Piece Capsule Shell
packaging:62,packaging,62,Packaging,Vegan Capsule Shell
packaging:63,packaging,63,Packaging,Vegetarian Capsule Shell
packaging:64,packaging,64,Packaging,Anti-Tarnish Strip
packaging:65,packaging,65,Packaging,Aseptic Bottle
packaging:66,packaging,66,Packaging,Aseptic Carton
packaging:67,packaging,67,Packaging,Aseptic Bag-in-Box
packaging:68,packaging,68,Packaging,Beverage Bottle
packaging:69,packaging,69,Packaging,Dropper Bottle
packaging:70,packaging,70,Packaging,Gable-Top Carton
packaging:71,packaging,71,Packaging,Glass Bottle
packaging:72,packaging,72,Packaging,HDPE Bottle
packaging:73,packaging,73,Packaging,Mini Bottle
packaging:74,packaging,74,Packaging,Pump Bottle
packaging:75,packaging,75,Packaging,Shot Bottle
packaging:76,packaging,76,Packaging,Spray Bottle
packaging:77,packaging,77,Packaging,Aseptic Tetra Pak Carton
packaging:78,packaging,78,Packaging,B-Flute Corrugated Shipping Box
packaging:79,packaging,79,Packaging,B-Flute Custom Die-Cut Corrugated Tray
packaging:80,packaging,80,Packaging,B-Flute Die-Cut Corrugated Box
packaging:81,packaging,81,Packaging,B-Flute Double-Wall Corrugated Box
packaging:82,packaging,82,Packaging,B-Flute Full-Overlap Box
packaging:83,packaging,83,Packaging,B-Flute Half-Slotted Container
packaging:84,packaging,84,Packaging,B-Flute RSC Box
packaging:85,packaging,85,Packaging,B-Flute Single-Wall Corrugated Box
packaging:86,packaging,86,Packaging,B-Flute Telescope Box
packaging:87,packaging,87,Packaging,B-Flute Triple-Wall Corrugated Box
packaging:88,packaging,88,Packaging,BC-Flute Corrugated Shipping Box
packaging:89,packaging,89,Packaging,BC-Flute Custom Die-Cut Corrugated Tray
packaging:90,packaging,90,Packaging,BC-Flute Die-Cut Corrugated Box
packaging:91,packaging,91,Packaging,BC-Flute Double-Wall Corrugated Box
packaging:92,packaging,92,Packaging,BC-Flute Full-Overlap Box
packaging:93,packaging,93,Packaging,BC-Flute Half-Slotted Container
packaging:94,packaging,94,Packaging,BC-Flute RSC Box
packaging:95,packaging,95,Packaging,BC-Flute Single-Wall Corrugated Box
packaging:96,packaging,96,Packaging,BC-Flute Telescope Box
packaging:97,packaging,97,Packaging,BC-Flute Triple-Wall Corrugated Box
packaging:98,packaging,98,Packaging,BOPP Label Label
packaging:99,packaging,99,Packaging,Back Label
packaging:100,packaging,100,Packaging,Bottom Label
packaging:101,packaging,101,Packaging,Capsule Seal
packaging:102,packaging,102,Packaging,Front Label
packaging:103,packaging,103,Packaging,BOPP Label Full-Body Sleeve
packaging:104,packaging,104,Packaging,Multi-Layer Label
packaging:105,packaging,105,Packaging,NFC Smart Label
packaging:106,packaging,106,Packaging,BOPP Label Neck Band
packaging:107,packaging,107,Packaging,Neck Label
packaging:108,packaging,108,Packaging,Panel Label
packaging:109,packaging,109,Packaging,QR Code Label
packaging:110,packaging,110,Packaging,RFID Label
packaging:111,packaging,111,Packaging,Scratch-Off Label
packaging:112,packaging,112,Packaging,Security Label
packaging:113,packaging,113,Packaging,Serialized Label
packaging:114,packaging,114,Packaging,Shrink Sleeve Label
packaging:115,packaging,115,Packaging,BOPP Label Tamper-Evident Sleeve
packaging:116,packaging,116,Packaging,Variable Data Label
packaging:117,packaging,117,Packaging,Wrap-Around Label
packaging:118,packaging,118,Packaging,BOPP Laminate Sachet
packaging:119,packaging,119,Packaging,BOPP Laminate Slim Stick Pack
packaging:120,packaging,120,Packaging,BOPP Laminate Stick Pack
packaging:121,packaging,121,Packaging,BOPP/PE Bag
packaging:122,packaging,122,Packaging,BOPP/PE Pouch
packaging:123,packaging,123,Packaging,BOPP/PE Doy-Pack
packaging:124,packaging,124,Packaging,BOPP/PE Flat Bottom Pouch
packaging:125,packaging,125,Packaging,Gusset Bag
packaging:126,packaging,126,Packaging,Heat-Seal Bag
packaging:127,packaging,127,Packaging,Peg-Hole Bag
packaging:128,packaging,128,Packaging,Pillow Pouch
packaging:129,packaging,129,Packaging,Pinch-Bottom Bag
packaging:130,packaging,130,Packaging,Quad-Seal Bag
packaging:131,packaging,131,Packaging,Resealable Pouch
packaging:132,packaging,132,Packaging,Retort Pouch
packaging:133,packaging,133,Packaging,Side-Gusset Bag
packaging:134,packaging,134,Packaging,Spouted Pouch
packaging:135,packaging,135,Packaging,Stand-Up Pouch
packaging:136,packaging,136,Packaging,Vacuum Pouch
packaging:137,packaging,137,Packaging,Zip-Lock Bag
packaging:138,packaging,138,Packaging,Zipper Pouch
packaging:139,packaging,139,Packaging,BPA-Free Bag
packaging:140,packaging,140,Packaging,BPA-Free Bag-in-Box
packaging:141,packaging,141,Packaging,BPA-Free Brick Pack
packaging:142,packaging,142,Packaging,BPA-Free Pouch
packaging:143,packaging,143,Packaging,Composite Can
packaging:144,packaging,144,Packaging,BPA-Free Doy-Pack
packaging:145,packaging,145,Packaging,Energy Drink Can
packaging:146,packaging,146,Packaging,Flat Bottom Pouch
packaging:147,packaging,147,Packaging,Flexible Pouch
packaging:148,packaging,148,Packaging,Juice Box
packaging:149,packaging,149,Packaging,PET Can
packaging:150,packaging,150,Packaging,RTD Bottle
packaging:151,packaging,151,Packaging,Single-Serve Bottle
packaging:152,packaging,152,Packaging,Sippy Packet
packaging:153,packaging,153,Packaging,Slim Can
packaging:154,packaging,154,Packaging,Spout Pouch
packaging:155,packaging,155,Packaging,Tetra Pak Carton
packaging:156,packaging,156,Packaging,Tin Can
packaging:157,packaging,157,Packaging,BPA-Free Bottle
packaging:158,packaging,158,Packaging,Bag-in-Box
packaging:159,packaging,159,Packaging,Bamboo-Fiber Composite Jar
packaging:160,packaging,160,Packaging,Bar Wrapper Film
packaging:161,packaging,161,Packaging,Bio-Based Cap
packaging:162,packaging,162,Packaging,Bio-Based Film Sachet
packaging:163,packaging,163,Packaging,Bio-based HDPE Bottle
packaging:164,packaging,164,Packaging,Bio-based HDPE Tube
packaging:165,packaging,165,Packaging,Bio-based HDPE Container
packaging:166,packaging,166,Packaging,Bio-based HDPE Sports Nutrition Container
packaging:167,packaging,167,Packaging,Biodegradable Sachet
packaging:168,packaging,168,Packaging,Biodegradable Blister Pack
packaging:169,packaging,169,Packaging,Biodegradable Bottle
packaging:170,packaging,170,Packaging,Film Sachet
packaging:171,packaging,171,Packaging,Film Stick Pack
packaging:172,packaging,172,Packaging,Kraft Bag
